repro_id,repro_path,config_label,config_us,rounds,speedup_vs_default,speedup_vs_best_compile_baseline,config_over_sol,best_3config_label,best_3config_us,best_3config_over_sol,round_count,rep_per_round,total_bytes
sum_sum_sum_18cf1bb89c04,repros/canonical/sum_sum_sum_18cf1bb89c04/repro.py,combo_persistent,165.95199704170227,"[166.01599752902985, 167.80799627304077, 166.9439971446991, 167.7439957857132, 165.95199704170227]",1.1596606760439443,1.0723101235986836,2.500482163757855,combo_persistent,165.95199704170227,2.500482163757855,5,300,416473092
sum_sum_sum_18cf1bb89c04,repros/canonical/sum_sum_sum_18cf1bb89c04/repro.py,default,192.44800508022308,"[192.47999787330627, 192.47999787330627, 192.44800508022308, 192.671999335289, 192.51200556755066]",1.0,0.9246757657220495,2.899710836459259,combo_persistent,165.95199704170227,2.500482163757855,5,300,416473092
sum_sum_sum_1aa511fcc737,repros/canonical/sum_sum_sum_1aa511fcc737/repro.py,combo_looped,364.4160032272339,"[364.54400420188904, 364.47998881340027, 364.6079897880554, 364.4160032272339, 365.56801199913025]",3.9850720147546093,0.9944678392760349,1.9884756353934774,combo_persistent,362.59201169013977,1.9785228267940866,5,200,1233129988
sum_sum_sum_1aa511fcc737,repros/canonical/sum_sum_sum_1aa511fcc737/repro.py,combo_persistent,362.59201169013977,"[363.5840117931366, 362.59201169013977, 364.44801092147827, 364.3519878387451, 364.3200099468231]",4.005118616431633,0.9994704341051286,1.9785228267940866,combo_persistent,362.59201169013977,1.9785228267940866,5,200,1233129988
sum_sum_sum_1aa511fcc737,repros/canonical/sum_sum_sum_1aa511fcc737/repro.py,default,1452.2240161895752,"[1453.984022140503, 1454.0799856185913, 1452.2240161895752, 1454.9440145492554, 1453.0880451202393]",1.0,0.24954827305354774,7.924218606627937,combo_persistent,362.59201169013977,1.9785228267940866,5,200,1233129988
sum_sum_sum_1b02daac4062,repros/canonical/sum_sum_sum_1b02daac4062/repro.py,combo_looped,78.84799689054489,"[78.91199737787247, 78.84799689054489, 78.87999713420868, 78.94399762153625, 78.91199737787247]",0.7918019608990022,0.8019480479597128,3.7052630141607423,default,62.431998550891876,2.933834520259023,5,300,102802048
sum_sum_sum_1b02daac4062,repros/canonical/sum_sum_sum_1b02daac4062/repro.py,combo_persistent,77.69600301980972,"[77.7600035071373, 77.69600301980972, 77.7600035071373, 77.7600035071373, 77.72800326347351]",0.8035419600024204,0.8138384824735972,3.651127963809365,default,62.431998550891876,2.933834520259023,5,300,102802048
sum_sum_sum_1b02daac4062,repros/canonical/sum_sum_sum_1b02daac4062/repro.py,default,62.431998550891876,"[62.431998550891876, 62.49599903821945, 63.26399743556976, 62.52799928188324, 62.55999952554703]",1.0,1.0128139200983928,2.933834520259023,default,62.431998550891876,2.933834520259023,5,300,102802048
sum_sum_sum_1c9995bc990f,repros/canonical/sum_sum_sum_1c9995bc990f/repro.py,combo_looped,88.03199976682663,"[88.19200098514557, 88.128000497818, 88.0960002541542, 88.03199976682663, 88.03199976682663]",1.0919665810584527,0.9527444351487099,2.3353140738118596,combo_persistent,86.11200004816055,2.2843802954518075,5,300,213987328
sum_sum_sum_1c9995bc990f,repros/canonical/sum_sum_sum_1c9995bc990f/repro.py,combo_persistent,86.11200004816055,"[87.07199990749359, 86.11200004816055, 86.11200004816055, 87.00799942016602, 86.81599795818329]",1.1163136584373594,0.9739873402771836,2.2843802954518075,combo_persistent,86.11200004816055,2.2843802954518075,5,300,213987328
