repro_id,best_compile_us,sol_us,gap_vs_sol,total_bytes_mb
pointwise_1cedd96f5faf,6.8,1.4,4.94,5.2
var_mean_36eed06607f1,24.6,5.0,4.94,18.9
var_mean_2f7685c1567b,30.5,6.2,4.91,23.6
pointwise_c7ec34b2837b,6.8,1.4,4.89,5.2
sum_8a66186d1ffe,148.4,30.4,4.88,115.6
var_mean_19d5741628ce,20.2,4.1,4.86,15.8
pointwise_072bc7c9b68c,6.6,1.4,4.8,5.2
any_mean_417d9efb98a0,11.9,2.5,4.78,9.4
pointwise_03cf69441b22,42.0,9.0,4.66,34.2
pointwise_e63526b438e7,7.7,1.7,4.64,6.3
var_mean_bb7b5fefc1d5,22.5,4.9,4.62,18.5
pointwise_f9c1d1b08ddb,311.2,67.8,4.59,257.6
var_mean_598830735cf6,162.8,35.5,4.59,134.9
pointwise_437415a3398d,169.8,37.2,4.57,141.3
sum_14fe7b321763,275.5,60.8,4.53,231.2
pointwise_5d7c3bd1f499,9.9,2.2,4.48,8.4
sum_sum_sum_26d1711c064d,152.7,34.2,4.47,129.8
pointwise_c2dc9d900d36,11.0,2.5,4.43,9.4
pointwise_e4cfa8694326,54.1,12.3,4.42,46.6
pointwise_2eae25328292,54.0,12.3,4.41,46.6
var_mean_mean_08131211a12e,15.2,3.5,4.4,13.1
pointwise_f2df04089ff4,81.7,18.6,4.39,70.6
pointwise_6d842b54b40d,256.8,59.8,4.29,227.3
mean_7639bfb9be38,16.0,3.7,4.27,14.2
pointwise_72ba9dfd2891,16.2,3.8,4.26,14.5
pointwise_1ca80bdfba30,7.1,1.7,4.25,6.4
sum_sum_e9338369070e,107.6,25.4,4.24,96.3
sum_sum_sum_17d1ea77dce0,251.8,59.7,4.22,227.0
pointwise_9edaf9e5b4c4,6.9,1.7,4.19,6.3
var_mean_3eaa1c7a7442,6.9,1.7,4.17,6.3
var_mean_edac0b24cfa0,6.9,1.7,4.17,6.3
mean_2ee5edb89c2f,6.9,1.7,4.15,6.3
mean_ddf2440c0a00,17.9,4.3,4.14,16.4
var_mean_d158ce08e24a,20.5,5.0,4.12,18.9
pointwise_a5d52cc24f84,6.8,1.7,4.09,6.3
amax_sum_5f0c26b7e967,144.3,35.3,4.08,134.2
var_mean_mean_e5a5cf78a7cf,22.9,5.6,4.08,21.3
sum_sum_sum_8ffe5090cf87,37.7,9.3,4.06,35.2
pointwise_644fbe16a3f2,8.9,2.2,4.03,8.4
mean_mean_1b98d81214e6,26.5,6.6,3.99,25.2
mean_mean_50d3de630629,30.8,7.7,3.98,29.4
sum_sum_0653152b5266,29.7,7.5,3.98,28.3
var_mean_1c7b809d512d,10.1,2.6,3.95,9.7
mean_c14e4442750c,6.5,1.7,3.94,6.3
pointwise_073278de7552,10.0,2.6,3.94,9.7
pointwise_d9e050ab21ca,7.6,1.9,3.94,7.4
sum_sum_sum_4fdc0c9d691f,20.1,5.1,3.92,19.4
pointwise_57287c224f10,19.8,5.1,3.91,19.3
pointwise_79b3932ba286,8.1,2.1,3.91,7.9
var_mean_f8560e5925aa,18.0,4.7,3.88,17.7
var_mean_4581dbce69e5,17.1,4.4,3.85,16.9
pointwise_9947dfa4af2d,7.8,2.1,3.79,7.9
sum_7953a8b0bbba,12.2,3.2,3.78,12.3
var_mean_bff30f530d6e,16.0,4.2,3.78,16.1
var_mean_de5dfb8583e7,7.0,1.9,3.78,7.1
var_mean_9c26314b1282,7.0,1.9,3.77,7.1
var_mean_1f499ddad801,19.4,5.2,3.76,19.6
