repro_id,repro_path,pattern_prefix,raw_sol_gap,launch_adjusted_gap_1us,launch_adjusted_gap_3us,launch_adjusted_gap_5us,best_compile_us,memcopy_sol_us,n_kernels,excess_us_vs_launch_adjusted_sol_3us,priority_score_3us,models,top_ops,launch_adjusted_priority_rank_3us
var_mean_d10ed8104f03,repros/canonical/var_mean_d10ed8104f03/repro.py,var_mean,1.1526315108234462,0.9898304544716023,0.7718061299907372,0.6324909465318793,7.007999811321497,6.0800001956522465,1,-2.0720003843307495,0.0,torchbench_nanogpt_train_000,aten.add.Tensor:3;<built-in function getitem>:2;aten.embedding.default:2;aten.mul.Tensor:2;aten.div.Tensor:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.unsqueeze.default:1;aten.var_mean.correction:1;aten.view.default:1;prims.iota.default:1,963
sum_0568508d372d,repros/canonical/sum_0568508d372d/repro.py,sum,1.5217391548866455,1.2407681195553524,0.9061488900082442,0.7136788643969078,20.160000771284103,13.248000293970108,3,-2.0879995226860046,0.0,torchbench_alexnet_train_001;torchbench_soft_actor_critic_train_001,aten.full.default:1;aten.le.Scalar:1;aten.permute.default:1;aten.sum.dim_IntList:1;aten.view.default:1;aten.where.self:1,964
var_mean_de5dfb8583e7,repros/canonical/var_mean_de5dfb8583e7/repro.py,var_mean,1.1284404098406726,0.9869609207325083,0.7890938562906193,0.6573146555399105,7.872000336647034,6.976000033318996,1,-2.1039996966719627,0.0,timm_dm_nfnet_f0_infer_000;timm_nfnet_l0_infer_000;timm_timm_dm_nfnet_f0_infer_infer_000;timm_timm_nfnet_l0_infer_infer_000,aten.mul.Tensor:3;aten.view.default:3;<built-in function getitem>:2;aten.add.Tensor:1;aten.clone.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.unsqueeze.default:1;aten.var_mean.correction:1,965
var_mean_9d1c4396c2c8,repros/canonical/var_mean_9d1c4396c2c8/repro.py,var_mean,1.129629605925378,0.9868553890065622,0.7877320258414292,0.6554734588382654,7.807999849319458,6.912000011652708,1,-2.10400016233325,0.0,hf_GPTJForCausalLM_infer_000;hf_GPTJForQuestionAnswering_infer_000,aten.view.default:4;<built-in function getitem>:2;aten.add.Tensor:2;aten.mul.Tensor:2;aten.embedding.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,966
var_mean_9d062f8786e2,repros/canonical/var_mean_9d062f8786e2/repro.py,var_mean,1.1010829566296212,0.9894565466991917,0.8226567304427969,0.7039814990008785,9.759999811649323,8.86400043964386,1,-2.1040006279945374,0.0,torchbench_hf_Longformer_infer_002,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,967
var_mean_4018778d8833,repros/canonical/var_mean_4018778d8833/repro.py,var_mean,1.3398876085292861,1.139784921045469,0.8776448767860093,0.713537757975459,15.263999812304974,11.392000131309032,2,-2.128000319004059,0.0,timm_deit_tiny_patch16_224.fb_in1k_infer,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.clone.default:1;aten.reshape.default:1;aten.rsqrt.default:1;aten.select.int:1;aten.sub.Tensor:1;aten.var_mean.correction:1,968
pointwise_3cfc4c59af74,repros/canonical/pointwise_3cfc4c59af74/repro.py,pointwise,1.1391752724246147,0.9811320831558459,0.7680278026804531,0.6309778708079602,7.071999832987785,6.207999773323536,1,-2.1359999403357506,0.0,torchbench_dlrm_infer_000;torchbench_dlrm_train_000,aten.lift_fresh_copy.default:2;aten.cat.default:1;aten.index.Tensor:1,969
var_mean_8f9c444fb5ff,repros/canonical/var_mean_8f9c444fb5ff/repro.py,var_mean,1.1200000103480288,0.9834146411723145,0.790588238604341,0.6609836080110512,8.063999935984612,7.199999876320362,1,-2.1359999403357506,0.0,torchbench_moondream_infer_000,aten.add.Tensor:4;aten.view.default:3;<built-in function getitem>:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,970
var_mean_3711a161734e,repros/canonical/var_mean_3711a161734e/repro.py,var_mean,1.135416631929023,0.9764837375575282,0.7629046224328173,0.6259870690309048,6.976000033318996,6.144000217318535,1,-2.1680001839995384,0.0,torchbench_hf_Bart_infer_004;torchbench_hf_Reformer_infer_005,aten.view.default:4;aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;prims.convert_element_type.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,971
sum_2821c003f795,repros/canonical/sum_2821c003f795/repro.py,sum,1.6120690239152362,1.269949113298927,0.8915375785899577,0.6868687133312137,17.952000722289085,11.136000044643879,3,-2.1839993223547935,0.0,torchbench_alexnet_train_001;torchbench_vgg16_train_001,aten.mul.Tensor:2;aten.permute.default:1;aten.sum.dim_IntList:1;aten.view.default:1;aten.where.self:1;prims.convert_element_type.default:1,972
sum_66b92a2b30bb,repros/canonical/sum_66b92a2b30bb/repro.py,sum,1.6085714276210994,1.2687323840592402,0.8918811734230325,0.6876335733427004,18.015999346971512,11.19999960064888,3,-2.184000253677368,0.0,torchbench_hf_Whisper_train_003,aten.view.default:3;aten.permute.default:2;aten.mul.Tensor:1;aten.sum.dim_IntList:1,973
sum_6295c187c71d,repros/canonical/sum_6295c187c71d/repro.py,sum,1.5353535115977297,1.2414496931594878,0.8977482219068091,0.7030933576823796,19.45599913597107,12.671999633312225,3,-2.216000497341156,0.0,hf_DebertaV2ForMaskedLM_train_001;hf_DebertaV2ForMaskedLM_train_012,aten.view.default:4;aten.permute.default:3;aten.clone.default:1;aten.div.Tensor:1;aten.full.default:1;aten.sum.dim_IntList:1,974
mean_3bee65342664,repros/canonical/mean_3bee65342664/repro.py,mean,1.1148325022379661,0.969823074846976,0.7696118737809083,0.6379192210300807,7.455999962985516,6.688000168651342,1,-2.232000205665827,0.0,torchbench_llama_infer_000,aten.view.default:3;aten.mul.Tensor:2;aten.add.Tensor:1;aten.embedding.default:1;aten.mean.dim:1;aten.pow.Tensor_Scalar:1;aten.rsqrt.default:1,975
var_mean_52ba5f6bf2a0,repros/canonical/var_mean_52ba5f6bf2a0/repro.py,var_mean,1.3714285212723123,1.144370826323502,0.8597014733686801,0.6884462030782674,13.824000023305416,10.080000385642052,2,-2.2560003623366356,0.0,torchbench_timm_vovnet_train_000,aten.mul.Tensor:7;aten.add.Tensor:4;aten.unsqueeze.default:4;<built-in function getitem>:2;aten.copy_.default:2;aten.squeeze.dims:2;aten.cat.default:1;aten.relu.default:1;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,976
pointwise_ef9ca88fea46,repros/canonical/pointwise_ef9ca88fea46/repro.py,pointwise,1.10747663805606,0.9663608583071897,0.77010560662364,0.640108036185674,7.584000006318092,6.84799998998642,1,-2.2639999836683273,0.0,torchbench_vgg16_train_000,aten.mul.Tensor:2;aten.gt.Scalar:1;aten.le.Scalar:1;aten.relu.default:1;prims.inductor_lookup_seed.default:1;prims.inductor_random.default:1,977
pointwise_d9e050ab21ca,repros/canonical/pointwise_d9e050ab21ca/repro.py,pointwise,1.1045454560487515,0.9671641813603432,0.7745019948935005,0.6458471790535604,7.7760000713169575,7.040000054985285,1,-2.2639999836683273,0.0,hf_GPTJForCausalLM_train_001;hf_GPTJForCausalLM_train_007;hf_GPTJForQuestionAnswering_train_001;hf_GPTJForQuestionAnswering_train_007,aten.slice_scatter.default:8;aten.view.default:8;aten.add.Tensor:6;aten.mul.Tensor:4;aten.permute.default:4;aten.select.int:4;aten.slice.Tensor:4;aten.clone.default:2;aten.expand.default:2;aten.full.default:2;aten.neg.default:2,978
sum_62dca72fabd1,repros/canonical/sum_62dca72fabd1/repro.py,sum,1.5048076939894504,1.2280529659678436,0.8978128330639666,0.7075445006632608,20.031999796628952,13.311999849975109,3,-2.280000053346157,0.0,hf_DebertaV2ForMaskedLM_train_001;hf_DebertaV2ForMaskedLM_train_012,aten.view.default:4;aten.permute.default:3;aten.clone.default:1;aten.div.Tensor:1;aten.sum.dim_IntList:1,979
var_mean_d22940b03b5c,repros/canonical/var_mean_d22940b03b5c/repro.py,var_mean,1.1111111519414019,0.9596510674661181,0.7540702863367034,0.6210303606957838,7.040000054985285,6.335999816656113,1,-2.295999761670828,0.0,torchbench_hf_Albert_infer_000;torchbench_hf_Bert_infer_000;torchbench_hf_Bert_large_infer_000;torchbench_hf_DistilBert_infer_000;torchbench_hf_GPT2_infer_000;torchbench_hf_GPT2_large_infer_000;torchbench_hf_Longformer_infer_002;torchbench_hf_Roberta_base_infer_000,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.view.default:2;prims.convert_element_type.default:2;aten.rsqrt.default:1;aten.sub.Tensor:1;aten.var_mean.correction:1,980
pointwise_1c65af29b270,repros/canonical/pointwise_1c65af29b270/repro.py,pointwise,1.1004566577173494,0.9630369919274534,0.7705835526621923,0.6422385218876808,7.712000049650669,7.007999811321497,1,-2.295999761670828,0.0,hf_GPTJForCausalLM_infer_000;hf_GPTJForQuestionAnswering_infer_000,aten.unsqueeze.default:13;aten.view.default:10;aten.slice.Tensor:8;aten.cat.default:4;aten.clone.default:4;aten.expand.default:4;aten.mul.Tensor:4;<built-in function getitem>:2;aten.add.Tensor:2;aten.neg.default:2;aten.permute.default:2;aten.repeat.default:2,981
pointwise_36d7a6209c54,repros/canonical/pointwise_36d7a6209c54/repro.py,pointwise,1.1419354366264567,0.9503355327378318,0.7115577621726981,0.5686746781066342,5.663999821990728,4.9600000493228436,1,-2.296000227332115,0.0,torchbench_modded_nanogpt_infer_001;torchbench_modded_nanogpt_infer_003;torchbench_modded_nanogpt_infer_005;torchbench_modded_nanogpt_infer_007;torchbench_modded_nanogpt_infer_009;torchbench_modded_nanogpt_infer_011;torchbench_modded_nanogpt_infer_013;torchbench_modded_nanogpt_infer_015,aten.index.Tensor:2;aten.bitwise_and.Tensor:1;aten.eq.Tensor:1;aten.ge.Tensor:1,982
sum_sum_sum_f5c107db3be9,repros/canonical/sum_sum_sum_f5c107db3be9/repro.py,sum_sum_sum,1.302291593871616,1.1767816108596958,0.9866100524922538,0.8493521160777113,170.9440052509308,131.26400113105774,14,-2.319995880126953,0.0,hf_AlbertForMaskedLM_train_001;torchbench_hf_Albert_train_001,aten.view.default:15;aten.sum.dim_IntList:12;aten.add.Tensor:11;aten.permute.default:2;aten.clone.default:1,983
mean_453dc6e89dd9,repros/canonical/mean_453dc6e89dd9/repro.py,mean,1.106060608287713,0.9552889839787204,0.7506426680534749,0.6182074739472528,7.007999811321497,6.335999816656113,1,-2.3280000053346157,0.0,torchbench_phlippe_densenet_infer_000,aten.unsqueeze.default:8;aten.mul.Tensor:3;aten.add.Tensor:2;aten.cat.default:1;aten.mean.dim:1;aten.reciprocal.default:1;aten.relu.default:1;aten.sqrt.default:1;aten.sub.Tensor:1;aten.view.default:1,984
mean_9c0fd9fb28b1,repros/canonical/mean_9c0fd9fb28b1/repro.py,mean,1.1024390216200994,0.9566137566273141,0.7564853582826714,0.6256055399294149,7.23200011998415,6.560000125318766,1,-2.3280000053346157,0.0,torchbench_llama_infer_000,aten.add.Tensor:2;aten.mul.Tensor:2;aten.mean.dim:1;aten.pow.Tensor_Scalar:1;aten.rsqrt.default:1;aten.select.int:1;aten.view.default:1,985
sum_962f7dc019a9,repros/canonical/sum_962f7dc019a9/repro.py,sum,1.1052631135537223,0.9491525086087602,0.7400880839046197,0.6064981794215805,6.719999946653843,6.0800001956522465,1,-2.3600002489984035,0.0,timm_beit_base_patch16_224_train;timm_beit_base_patch16_224_train_001;timm_timm_beit_base_patch16_224_train_train_001,aten.mul.Tensor:1;aten.sum.dim_IntList:1,986
var_mean_5d4b04bc0f0f,repros/canonical/var_mean_5d4b04bc0f0f/repro.py,var_mean,1.2965879004450365,1.113866941098911,0.8689533616696654,0.7123287450017203,15.807999297976494,12.191999703645706,2,-2.3840004056692123,0.0,timm_deit_tiny_patch16_224.fb_in1k_infer_000;timm_timm_deit_tiny_patch16_224.fb_in1k_infer_infer_000,aten.add.Tensor:3;<built-in function getitem>:2;aten.mul.Tensor:2;aten.clone.default:1;aten.rsqrt.default:1;aten.select.int:1;aten.sub.Tensor:1;aten.var_mean.correction:1;aten.view.default:1,987
pointwise_3b19d63866a7,repros/canonical/pointwise_3b19d63866a7/repro.py,pointwise,1.1194968478630238,0.9356110346526089,0.7042532146886299,0.5646312463658179,5.696000065654516,5.08800009265542,1,-2.392000027000904,0.0,torchbench_moco_infer_007,aten.view.default:2;aten.index.Tensor:1;aten.select.int:1,988
max_448f6b3c8f1d,repros/canonical/max_448f6b3c8f1d/repro.py,max,1.1187499977262632,0.9359477066526861,0.7054187111942536,0.5660078969234837,5.727999843657017,5.119999870657921,1,-2.392000027000904,0.0,torchbench_hf_Reformer_infer_002,aten.max.default:1,989
pointwise_403020d93ad2,repros/canonical/pointwise_403020d93ad2/repro.py,pointwise,1.1165644089623725,0.9369369339727985,0.7088607610261122,0.5700861424688939,5.824000108987093,5.216000135987997,1,-2.392000027000904,0.0,hf_AllenaiLongformerBase_infer_001;hf_AllenaiLongformerBase_train_001;torchbench_hf_Longformer_infer_001;torchbench_hf_Longformer_train_001,aten.lt.Scalar:1,990
pointwise_b556697c6ec2,repros/canonical/pointwise_b556697c6ec2/repro.py,pointwise,1.416988456903631,1.141524131992206,0.8219485021910078,0.6421697375093773,11.744000017642975,8.287999778985977,2,-2.5439997613430023,0.0,torchbench_hf_Longformer_train_002,aten.permute.default:5;aten.view.default:5;aten.add.Tensor:1;aten.as_strided.default:1;aten.clone.default:1;aten.unsqueeze.default:1,991
