dir,shape_hash,triton_us,cutile_us,cutile_over_triton,triton_status,cutile_status,compile_us_triton,compile_us_cutile,triton_ratio,cutile_ratio
pointwise_04d85912d998,4166c153,5.76,5.82,1.0104166666666667,AT_FLOOR,AT_FLOOR,5.66,5.76,0.983,0.989
pointwise_04d85912d998,41dcb802,5.63,5.73,1.0177619893428065,AT_FLOOR,AT_FLOOR,5.6,5.6,0.994,0.978
pointwise_04d85912d998,42b7dbef,5.41,5.54,1.024029574861368,AT_FLOOR,AT_FLOOR,5.57,5.63,1.03,1.017
pointwise_04d85912d998,448fc025,5.79,5.82,1.005181347150259,AT_FLOOR,AT_FLOOR,5.82,5.63,1.006,0.967
pointwise_04d85912d998,4496422f,5.63,5.73,1.0177619893428065,AT_FLOOR,AT_FLOOR,5.41,5.47,0.96,0.955
pointwise_04d85912d998,44da6ae4,5.38,5.5,1.0223048327137547,AT_FLOOR,AT_FLOOR,5.57,5.44,1.036,0.988
pointwise_04d85912d998,450f3148,5.66,5.66,1.0,AT_FLOOR,AT_FLOOR,5.66,5.54,1.0,0.977
pointwise_04d85912d998,46012c02,5.28,7.01,1.3276515151515151,AT_FLOOR,BAD_ORACLE,5.28,5.28,1.0,0.753
pointwise_04d85912d998,465149ba,5.47,5.7,1.0420475319926874,AT_FLOOR,AT_FLOOR,5.57,5.66,1.018,0.994
pointwise_04d85912d998,47542dd5,5.6,5.79,1.0339285714285715,AT_FLOOR,AT_FLOOR,5.82,5.63,1.04,0.972
pointwise_04d85912d998,483105fa,5.79,5.82,1.005181347150259,AT_FLOOR,AT_FLOOR,5.7,5.7,0.983,0.978
pointwise_04d85912d998,48fc43ba,5.66,5.63,0.9946996466431095,BAD_ORACLE,BAD_ORACLE,5.38,5.12,0.949,0.909
pointwise_04d85912d998,48ffb95c,5.79,5.98,1.0328151986183074,AT_FLOOR,AT_FLOOR,5.86,5.89,1.011,0.984
pointwise_04d85912d998,49610b83,5.79,5.98,1.0328151986183074,AT_FLOOR,AT_FLOOR,5.82,5.82,1.006,0.973
pointwise_04d85912d998,4996369d,6.02,6.05,1.004983388704319,AT_FLOOR,AT_FLOOR,5.89,5.98,0.979,0.989
pointwise_04d85912d998,49cad605,5.63,5.73,1.0177619893428065,AT_FLOOR,AT_FLOOR,5.54,5.63,0.983,0.983
pointwise_04d85912d998,49e64e10,5.82,5.95,1.02233676975945,AT_FLOOR,AT_FLOOR,5.76,5.79,0.989,0.973
pointwise_04d85912d998,49fbff34,5.54,5.76,1.03971119133574,AT_FLOOR,AT_FLOOR,5.66,5.63,1.023,0.978
pointwise_04d85912d998,4a33cf6a,5.86,5.89,1.0051194539249146,AT_FLOOR,AT_FLOOR,5.86,5.73,1.0,0.973
pointwise_04d85912d998,4a583016,5.79,5.79,1.0,AT_FLOOR,AT_FLOOR,5.6,5.76,0.967,0.994
pointwise_04d85912d998,4a882661,5.7,5.79,1.0157894736842106,AT_FLOOR,AT_FLOOR,5.6,5.6,0.983,0.967
pointwise_04d85912d998,4a88bef9,5.6,5.79,1.0339285714285715,AT_FLOOR,AT_FLOOR,5.7,5.5,1.017,0.95
pointwise_04d85912d998,4af17ea6,5.89,5.76,0.9779286926994907,AT_FLOOR,AT_FLOOR,5.73,5.66,0.973,0.983
